d,spend1,spend2,spend3,spend4
7/21/2021,401.8214441217251,503.8254330696774,652.9091261353057,878.4597539365717
7/28/2021,375.1817929896382,465.2489902357858,604.5321795509699,834.101949152544
8/4/2021,425.8231169054091,536.896661090717,694.3336759389742,931.7519011481655
8/11/2021,383.7924767311392,474.0629173825891,628.7123524474631,865.4445351558251
8/18/2021,395.7326412304456,506.6102015289729,654.6185211174748,888.2412183160078
8/25/2021,382.5788309459372,464.1510496915613,600.4854773537955,837.9990433296888
9/1/2021,387.5419233612793,474.6399395223823,610.8065751626165,823.531832148711
9/8/2021,405.9166090170993,507.4961978579252,669.2181592278414,905.1385941771497
9/15/2021,369.446796422206,454.324346591987,590.0387661341031,813.7447153909251
9/22/2021,390.2232414680821,488.1508349922432,635.4349699349499,846.0114945325274
9/29/2021,366.5339824410893,450.2762123528785,579.2051157639199,802.1145717878592
10/6/2021,428.4564435936377,541.0379736214639,694.6247756062439,915.7763618643983
10/13/2021,371.0281653574516,457.8563691102497,597.5011193309568,827.2282632312712
10/20/2021,400.4588764934972,510.9380308443414,659.8759463145627,879.4432719792196
10/27/2021,372.4346385900062,463.7826127994568,596.668169539292,828.0726971022414
11/3/2021,417.0901950623812,519.7322327517709,667.8846415874799,888.5006664024058
11/10/2021,394.5092590930098,487.6991769670357,628.6137129882153,879.325481383265
11/17/2021,416.26112872137,527.153562540213,691.9495592757985,935.6887998086373
11/24/2021,426.4699885801045,540.1384272414225,699.5096926051352,977.4075064516167
12/1/2021,429.7460238299562,548.0372768799892,713.3599276100815,976.3288214871536
12/8/2021,431.7405202323591,546.0644789388053,707.8730214621864,978.0640337889538
12/15/2021,434.5809067265171,554.3100916625682,712.4160708911645,1012.96438209404
12/22/2021,485.0601422536158,609.8132628770394,794.8243536764519,1104.937278704207
12/29/2021,384.5692579048138,472.979218181133,609.154365966249,838.3511446418856
1/5/2022,408.0523363258293,517.1155198122843,665.5932970234757,896.9652810825596
1/12/2022,365.6481176315293,449.882561669762,582.2682317976098,801.8776597047605
1/19/2022,370.7811451580977,466.6707652424038,606.6543699229607,822.3783709950742
1/26/2022,355.1211607366836,440.5323777012479,567.4341548214969,783.4710314379506
2/2/2022,384.1012750016533,484.1901948302632,623.3163323341627,834.6261048660476
2/9/2022,382.124409069907,476.3781011997125,608.6604658733257,827.8891760798309
2/16/2022,385.1301473364585,475.594350830715,617.9973713018218,826.5163067796576
2/23/2022,384.244803683411,486.7477671725369,618.1704231587759,829.5548353471729
3/2/2022,443.7260095715863,539.0778174317865,680.3660177152968,893.7626152268977
3/9/2022,437.3436333751393,533.6892120122624,675.2230910644182,891.6169717331874
3/16/2022,412.3495350188142,503.6745117511272,645.6645834657234,864.4087779387588
3/23/2022,415.3463290646256,518.7514907466993,657.3810873474997,871.1224732094068
3/30/2022,387.4982371113629,485.5598448321562,608.3790339618145,822.7544295789985
4/6/2022,456.8220419169596,569.7005393028825,722.8053270885106,942.2073033078151
4/13/2022,402.7442291900463,490.966423532528,629.6294655136235,857.6427570803729
4/20/2022,404.1998455343601,515.975239601864,672.3847940109698,890.1783604975401
4/27/2022,390.9851759852163,485.824534534308,620.4180667246225,835.1865917167803
5/4/2022,460.6856290184178,578.9481432464196,741.8587875663219,973.7054745215925
5/11/2022,416.1357922635183,506.2593620330782,655.4782900092861,893.7855923455413
5/18/2022,413.6964830021797,527.1535107292922,679.7117886154458,908.6882547293704
5/25/2022,389.3783643804889,485.5242383529522,627.6311224783478,863.1196856205537
6/1/2022,417.9180143243783,520.129176891346,677.8612112946219,915.5422112356422
6/8/2022,421.5716427486983,531.0715783219208,688.6034619765625,932.7031884363024
6/15/2022,396.4343675490131,497.3579743405386,645.5353888672389,893.3371102788451
6/22/2022,403.3907200475286,507.8711094501018,663.6916530379757,902.0006674412203
6/29/2022,383.0241007987329,471.63643401582,608.2628698779957,842.8378228813533
